PROPOSAL_LONGTEXT,Research_Issue_Code
AUTHORIZE SHARE REPURCHASE PROGRAM OF UP TO 10 PERCENT OF ISSUED SHARE        CAPITAL,5896
"The Adjournment Proposal - to approve the adjournment of the Special Meeting to a later date or dates, if necessary, to permit further solicitation and vote of proxies in the event that there are insufficient votes for, or otherwise in connection with, the approval of the Extension Amendment Proposal (the  Adjournment Proposal ). The Adjournment Proposal will only be presented at the Special Meeting if there are not sufficient votes to approve the Extension Amendment Proposal.",710
AUTHORISATION OF THE BOARD OF DIRECTORS TO RESOLVE ON SHARE ISSUES,5804
AMEND ARTICLE 11,6180
APPROVE REMUNERATION OF COMPANY S MANAGEMENT,5600
APPROVAL OF PARTIAL AMENDMENT TO ARTICLES OF INCORPORATION,6184
CHANGE OF 2023 AUDIT FIRM,5200
ELECTION OF INSIDE DIRECTOR LEE SUN WOO,5100
APPROVE DISCHARGE OF AUDITORS FOR FY 2023,5250
TO RE-APPOINT PRICEWATERHOUSECOOPERS LLP AS AUDITORS TO THE COMPANY,5200
"DECISION TO APPROVE THE PAYMENT TO JUAN CLARKE, JACQUES ELVINGER AND GODFREY  ABEL IN THEIR CAPACITY AS DIRECTORS OF THE COMPANY A GROSS REMUNERATION OF    EUR 75 000, DETAILED AS FOLLOW: JUAN CLARKE: EUR 25 000, JACQUES ELVINGER:    EUR 25 000 AND GODFREY ABEL: EUR 25 000, FOR THE FINANCIAL YEAR ENDING ON 30  SEPTEMBER 2023",5500
AUTHORIZE ISSUANCE OF CAPITAL OR FINANCING SUKUK OR OTHER DEBT INSTRUMENTS IN ACCORDANCE TO SHARIAH COMPLIANT CONTRACTS AND AUTHORIZE BOARD TO ASSIGN A     DELEGATE TO EXECUTE AND TAKE ALL THE NECESSARY ACTIONS FOR THE APPROVED       RESOLUTION,5900
DESIGNATE INSPECTOR(S) OF MINUTES OF MEETING,5759
APPROVE BOARD REPORT ON COMPANY OPERATIONS FOR THE FISCAL YEAR ENDED          31/12/2023,5032
APPROVE AUDITORS  REPORT ON COMPANY FINANCIAL STATEMENTS FOR THE FISCAL YEAR  ENDED 31/12/2023,5030
APPROVE FATWA AND SHARIAH SUPERVISORY BOARD REPORT FOR THE FISCAL YEAR ENDED  31/12/2023,5759
"Approval of the annual financial statements and management reports of Banco Bilbao Vizcaya Argentaria, S.A. and its consolidated Group for the financial year ended 31 December 2023.",5030
TO LAY THE UNAUDITED FINANCIAL STATEMENTS FOR THE PERIOD ENDED 30 NOVEMBER    2023 BEFORE THE MEMBERS TO LAY THE UNAUDITED FINANCIAL STATEMENTS FOR THE     PERIOD ENDED 30 NOVEMBER 2023 BEFORE THE MEMBERS,5759
CONNECTED TRANSACTIONS REGARDING ACQUISITION OF THE EXPLORATION RIGHT OF A    MINE,6200
AMENDMENTS TO THE COMPANY S ARTICLES OF ASSOCIATION,6184
AMENDMENTS TO THE COMPANY S RULES OF PROCEDURE GOVERNING THE SUPERVISORY      COMMITTEE MEETINGS,6193
APPROVAL OF REMUNERATION FOR DIRECTOR,5500
PRESENTATION AND APPROVAL OF THE ANNUAL REPORT WITH AUDITED FINANCIAL         STATEMENTS,5030
ELECTION OF AUDIT COMMITTEE MEMBER BAK JIN GYU,5130
APPROVE AUDITORS  REPORT ON COMPANY FINANCIAL STATEMENTS FOR FY 2023,5759
REAPPOINT SICO B.S.C TO PROVIDE MARKETING SERVICES TO THE COMPANY BY          UTILIZING AT ANY GIVEN TIME A MAXIMUM OF 3 PERCENT OF COMPANY S PAID UP       CAPITAL FOR THREE YEARS PERIOD,6395
AUTHORITY TO ALLOT SHARES,5801
DECISION ON PAYMENT OF A DIVIDEND,5000
Election of Director: Craig J. Marshak,100
Anthony Zelen,5100
Anthony Zelen,5100
APPROVAL OF FEES FOR INDEPENDENT BOARD MEMBERS,5500
GRANTING OF DIRECTORS  AUTHORITY,5750
PROPOSALS TO AMEND THE BANKS ARTICLES OF ASSOCIATION,6185
"To approve an amendment to the Company s certificate of incorporation, as amended (the  Certificate of Incorporation ), to increase the Company s authorized shares of capital stock from 220,000,000 shares to 320,000,000 shares, of which 300,000,000 shares shall be common stock, par value $0.0001 per share ( Common Stock ).",800
APPOINT OR REAPPOINT AUDITORS AND AUTHORIZE BOARD TO FIX THEIR REMUNERATION   FOR THE FISCAL YEAR ENDING 31 12 2024,5220
"APPROVAL OF THE SUBSCRIPTION AGREEMENT, INCLUDING THE IMPLEMENTATION OF THE   WE BUY CARS SHARE ISSUE AND THE REPURCHASE UNWIND (IF APPLICABLE)",5740
ELECTION OF INSIDE DIRECTOR: GIM DO HYEONG,5100
RE-ELECTION OF MICHAEL TROENSEGAARD ANDERSEN AS MEMBER TO THE BOARD OF        DIRECTORS,5100
APPROVAL OF FINANCIAL STATEMENTS,5031
APPROVE CORPORATE GOVERNANCE REPORT FOR FY 2023,5759
APPROVE RELATED PARTY TRANSACTIONS CARRIED-OUT DURING FY 2023,5740
"TO APPROVE, CONFIRM AND RATIFY THE DADING RESUMPTION AGREEMENT AND THE        TRANSACT ION CONTEMPLATED THEREUNDER",6220
THE RESOLUTION ON ELECTION OF MR. YANG BINGBING AS AN EXECUTIVE DIRECTOR OF   THE NINTH SESSION OF THE BOARD OF DIRECTORS OF CHINA EVERBRIGHT BANK COMPANY  LIMITED,5100
RATIFY RELATED PARTY TRANSACTIONS FOR THE FISCAL YEAR ENDED 31 12 2023 AND    AUTHORIZE BOARD TO CONDUCT RELATED PARTY TRANSACTIONS FOR THE FISCAL YEAR     ENDING 31 12 2024,5740
APPROVAL OF FINANCIAL STATEMENTS,5031
RE-ELECTION OF MORTEN CHRONE AS MEMBER TO THE BOARD OF DIRECTORS,5100
APPROVAL OF FINANCIAL STATEMENTS,5031
"APPROVE REMUNERATION OF DIRECTORS OF BHD 420,000 FOR FY 2023",5500
"To sell and issue, on a non-brokered private placement basis, up to a maximum of 30,000,000 units of the Corporation (each a  Unit  and collectively, the  Units ) at a price of $0.02 per Unit for the maximum aggregate gross proceeds of up to $600,000 (the  Offering ). Each Unit will be comprised of: (i) one common share of the Corporation (a  Common Share ); and (ii) one common share purchase warrant of the Corporation (a  Warrant ). Each Warrant shall be exercisable to purchase one additional Common Share at an exercise price of $0.05 for a period of five years.",5802
"To sell and issue, on a non-brokered private placement basis, up to a maximum of 30,000,000 units of the Corporation (each a  Unit  and collectively, the  Units ) at a price of $0.02 per Unit for the maximum aggregate gross proceeds of up to $600,000 (the  Offering ). Each Unit will be comprised of: (i) one common share of the Corporation (a  Common Share ); and (ii) one common share purchase warrant of the Corporation (a  Warrant ). Each Warrant shall be exercisable to purchase one additional Common Share at an exercise price of $0.05 for a period of five years.",5802
To approve an amendment to the Certificate of Incorporation to permit the Board to amend the Company s bylaws.,1185
To approve an amendment to the Company s 2018 Long-Term Stock Incentive Plan (the  LTIP ) to increase the annual share limit of Common Stock that may be issued only for the 2024 fiscal year under the LTIP from 8% of the shares of Common Stock outstanding to 15% of the shares of Common Stock outstanding.,310
Re-appointment of Class I Director until the 2027 annual general meeting: Whitney Baker,100
Proposal to approve the adjournment of the Special Meeting to solicit additional proxies if there are insufficient proxies at the Special Meeting to approve the foregoing proposal.,710
Election of Director: Subash Menon,100
"To authorize the Company s board of directors (the  Board ) to amend the Certificate of Incorporation to effect a reverse stock split of all outstanding shares of Common Stock, by a ratio in the range of one-for-five to one-for-one hundred and fifty, to be determined in the Board s sole discretion.",895
DIRECTOR,5100
DIRECTOR,5100
APPROVAL OF AMENDMENTS TO THE REGULATIONS ON THE MANAGEMENT BOARD OF PUBLIC   JOINT STOCK COMPANY GAZPROM NEFT,9999
RE-ELECT LUCIEN CAYTAN AS DIRECTOR,5100
"I WISH TO AUTHORIZE BROADRIDGE TO ARRANGE FOR THE SUB-CUSTODIAN TO REGISTER   THE SHARES, SO THAT I MAY SUBMIT A VOTE OR MEETING ATTENDANCE REQUEST ON PART 2 OF THE MEETING",9998
APPROVE DISCHARGE OF DIRECTORS FOR THE FISCAL YEAR ENDED 31 12 2023,5700
ELECTION OF DIRECTOR: ZHAO YUNDE,5100
RE-ELECTION OF THE BOARD OF DIRECTOR: SVAFA GRONFELDT,5100
INDICATIVE VOTE ON THE REMUNERATION REPORT,5600
APPROVAL OF REMUNERATION FOR DIRECTOR,5500
ELECTION OF AUDIT COMMITTEE MEMBER SIN MI NAM,5130
ELECT SEVEN DIRECTORS FOR A PERIOD OF THREE YEARS,5101
"ELECTION OF THE BANKS BOARD OF DIRECTORS, CHAIRMAN OF THE BOARD AND           VICE-CHAIRMAN",5101
DECISION ON REMUNERATION TO THE BANKS BOARD OF DIRECTORS AND COMPENSATION TO  MEMBERS OF THE BOARDS SUB-COMMITTEES,5505
SHAREHOLDER RETURN PLAN FOR THREE YEARS FROM 2023 TO 2025,5000
APPROVAL OF FINANCIAL STATEMENTS,5031
ELECTION OF AUDIT COMMITTEE MEMBER YEO MI SUK,5130
APPROVE DIVIDENDS OF 29.18 PERCENT OF PAID UP CAPITAL INCLUSIVE OF INTERIM    DIVIDENDS FOR FY 2023,5000
TO RATIFY THE SITTING FEES OF BOARD OF DIRECTORS AND SUB-COMMITTEES FOR THE   FINANCIAL YEAR ENDED 31 DECEMBER 2023 AND TO DETERMINE THE SITTING FEES FOR   THE NEXT FINANCIAL YEAR ENDING 31 DECEMBER 2024 (ATTACHMENT 1),5500
"TO CONSIDER AND APPROVE A BUDGET OF RO 25,000 FOR THE YEAR ENDING 31 DECEMBER 2024 FOR CORPORATE SOCIAL RESPONSIBILITY ACTIVITIES",6310
Election of Director: Jamal  Jamie  Khurshid,100
Fraser Matthews,5100
"Re-appointment of KPMG LLP, Chartered Accountants as Auditors of the Company for the ensuing year and authorizing the Directors to fix their remuneration.",5220
Fraser Matthews,5100
"Re-appointment of KPMG LLP, Chartered Accountants as Auditors of the Company for the ensuing year and authorizing the Directors to fix their remuneration.",5220
AMENDMENTS TO THE COMPANY S ARTICLES OF ASSOCIATION,6184
RE-ELECT CHARLES GIRALDEZ AS DIRECTOR,5100
APPROVAL OF REVOCATION RESOLUTION,6210
AMENDMENT OF ARTICLES OF INCORPORATION (CHANGES IN REGULATIONS ON THE BASIS   OF RETIREMENT ALLOWANCE FOR DIRECTORS),6180
CONFIRMATION OF THE COMPANYS CONSOLIDATED FINANCIAL STATEMENTS FOR 2023,5030
PROPOSAL TO APPROVE THE COMPANYS REMUNERATION POLICY,5605
RE-ELECTION OF THE BOARD OF DIRECTOR: NIELS JACOBSEN,5100
ELECTION OF THE BOARD OF DIRECTOR: TINA ABILD OLSEN,5100
THE BOARD OF DIRECTORS  PROPOSALS: AUTHORISATION TO DISTRIBUTE EXTRAORDINARY  DIVIDEND,5010
ELECT LEIF-ARNE LANGOY AS MEMBER OF CORPORATE ASSEMBLY,5115
"Extension Amendment Proposal: Amend the Company s amended and restated certificate of incorporation to extend the date by which the Company has to consummate a business combination from March 20, 2024 to March 20, 2025 or such earlier date as determined by the board of directors.",1188
Robert Birmingham,5100
Robert Birmingham,5100
THE RESOLUTION ON ELECTION OF MR. CUI YONG AS A NON-EXECUTIVE DIRECTOR OF THE NINTH SESSION OF THE BOARD OF DIRECTORS OF CHINA EVERBRIGHT BANK COMPANY      LIMITED,5100
APPROVAL OF FINANCIAL STATEMENT,5031
APPROVAL OF FINANCIAL STATEMENTS,5031
RE-ELECTION OF PETER BANG AS MEMBER TO THE BOARD OF DIRECTORS,5100
APPROVE DISCHARGE OF DIRECTORS OF FY 2023,5700
APPROVE THE APPOINTMENT OF KHALID AL RUMEEHI AS CHAIRMAN OF THE BOARD OF      DIRECTORS,5145
Tyler Lewis,5100
Christopher Mackay,5100
Tyler Lewis,5100
Christopher Mackay,5100
"To approve, for purposes of Rule 5635(d) of The Nasdaq Stock Market LLC ( Nasdaq ), the issuance of 20% or more of our outstanding shares of Common Stock upon exercise of the common stock purchase warrants (the  New Warrants ), issued to certain holders ( Holders ) of the Company s Series B Convertible Preferred Stock purchase warrants issued on October 17, 2023, pursuant to certain warrant inducement letter agreements, dated as of December 5, 2023, by and between the Company and each Holder.",860
"I WISH TO AUTHORIZE BROADRIDGE TO ARRANGE FOR THE SUB-CUSTODIAN TO REGISTER   THE SHARES, SO THAT I MAY SUBMIT A VOTE OR MEETING ATTENDANCE REQUEST ON PART 2 OF THE MEETING",9998
ELECT MEHDI BALAFREJ AS DIRECTOR,5100
2024 RESTRICTED STOCK INCENTIVE PLAN (DRAFT) AND ITS SUMMARY,5312
ELECTION OF INSIDE DIRECTOR: YUN YEONG JUN,5100
PROPOSAL ON THE BOARD OF DIRECTORS REMUNERATION FOR 2024,5505
ELECTION OF AUDITOR: ELECTION OF DELOITTE STATSAUTORISERET                    REVISIONSPARTNERSELSKAB,5200
ELECTION OF AUDIT COMMITTEE MEMBER I UK,5130
APPOINT AUDITORS AND FIX THEIR REMUNERATION OF FY 2024,5220
APPROVE MINUTES OF PREVIOUS MEETING HELD ON 26 FEBRUARY 2023,5759
"APPROVE TRANSFER OF BHD 76,710 ,841 TO RETAINED EARNINGS",5000
APPROVE DISCHARGE OF DIRECTORS FOR FY 2023,5700
The number of Directors shall be fixed to 4 (four).,5170
The number of Directors shall be fixed to 4 (four).,5170
To amend the Company s Amended and Restated Certificate of Incorporation to extend the Termination Date by which the Company must consummate a business combination from 03/14/24 by allowing Termination Date to consummate a business combination on a monthly basis up to six times by an additional one month each time by resolution of the Company s Board of directors if requested by Instant Fame LLC.,1188
Kim Evans,5100
Kim Evans,5100
APPROVE AUDITORS REPORT ON COMPANY FINANCIAL STATEMENTS FOR THE FISCAL YEAR   ENDED 31 12 2023,5030
2024 CONTINUING CONNECTED TRANSACTION PLAN,5740
APPROVAL OF ARTICLES ON RETIREMENT ALLOWANCE FOR DIRECTOR,5695
AMENDMENT OF ARTICLES OF INCORPORATION,6184
ELECTION OF OUTSIDE DIRECTOR I UK,5100
APPROVAL OF REMUNERATION FOR DIRECTOR,5500
TO NOTIFY THE SHAREHOLDERS OF DONATIONS DISBURSED TO SUPPORT COMMUNITY        SERVICES DURING THE FINANCIAL YEAR ENDED ON 31 DECEMBER 2023 (ANNEXURE 3),6310
AMENDMENT OF ARTICLES OF INCORPORATION,6180
Election of Director: Douglas Davis,100
APPROVAL OF AMENDMENTS TO THE REGULATIONS ON THE BOARD OF DIRECTORS OF        GAZPROM NEFT PUBLIC JOINT-STOCK COMPANY,9999
TO CONSIDER AND APPROVE THE BOARD OF DIRECTOR S REPORT FOR THE FINANCIAL YEAR ENDED 31 DECEMBER 2023,5032
TO CONSIDER THE AUDITOR S REPORT AND TO APPROVE THE FINANCIAL STATEMENTS OF   THE COMPANY FOR THE FINANCIAL YEAR ENDED 31 DECEMBER 2023,5030
To appoint GreenGrowth CPAs as auditor of the Company for the ensuing year and to authorize the directors to fix their remuneration.,5220
To appoint GreenGrowth CPAs as auditor of the Company for the ensuing year and to authorize the directors to fix their remuneration.,5220
To amend the Company s Investment Management Trust Agreement dated as of 09/10/21 and as amended on 03/08/23 by and between the Company and Continental Stock Transfer & Trust Company allowing the Company in the event that the Company has not consummated a business combination by the Extended Date to extend by resolution of the Board and without approval of the Company s stockholders the Termination Date up to 6 times each by one additional month by depositing into the Trust Account for each.,1188
To set the number of Directors at six (6).,5170
To approve and ratify the Company s Stock Option Plan.,5310
To set the number of Directors at six (6).,5170
To approve and ratify the Company s Stock Option Plan.,5310
"TO APPROVE, CONFIRM AND RATIFY THE DACHANG RESUMPTION AGREEMENT I AND THE     TRANSACTION CONTEMPLATED THEREUNDER",6220
APPROVAL OF THE AMENDMENTS TO THE REGULATIONS ON THE CEO OF GAZPROM NEFT      PUBLIC JOINT-STOCK COMPANY,9999
RE-ELECT GREGORY BERTHIER AS DIRECTOR,5100
APPROVE DIVIDENDS OF KWD 0.015 FOR THE FISCAL YEAR ENDED 31 12 2023,5000
ELECTION OF OUTSIDE DIRECTOR: O GYEONG HUN,5100
APPROVAL OF REMUNERATION FOR DIRECTOR,5500
APPRAISAL MANAGEMENT MEASURES FOR THE IMPLEMENTATION OF 2024 RESTRICTED STOCK INCENTIVE PLAN,6194
TO CONSIDER AND APPROVE THE ORIGINAL PROPERTY PURCHASE AGREEMENT (AS MODIFIED AND SUPPLEMENTED BY THE SUPPLEMENTAL AGREEMENT AND THE SECOND SUPPLEMENTAL    AGREEMENT) AND THE TRANSACTIONS CONTEMPLATED THEREUNDER,6220
ELECTION OF AUDIT COMMITTEE MEMBER SONG CHAN YEOP,5130
APPROVE AUDITOR S REPORT ON COMPANY FINANCIAL STATEMENTS FOR FY 2023,5030
APPROVE BOARD REPORT ON COMPANY OPERATIONS FOR FY 2023,5032
THE RESOLUTION ON ELECTION OF MS. QI YE AS AN EXECUTIVE DIRECTOR OF THE NINTH SESSION OF THE BOARD OF DIRECTORS OF CHINA EVERBRIGHT BANK COMPANY LIMITED,5100
GRANT OF STOCK OPTION,5340
ELECTION OF INSIDE DIRECTOR GIM DONG MYEONG,5100
AUTHORIZE CHAIRMAN OF THE MEETING TO APPOINT A SECRETARY AND VOTE COLLECTOR   TO THE MEETING,5759
APPROVE REMUNERATION OF DIRECTORS OF FY 2023,5500
APPROVE DISCHARGE OF AUDITORS OF FY 2023,5250
REAPPOINT AUDITORS AND AUTHORIZE THE BOARD TO FIX THEIR REMUNERATION FOR FY   2024,5220
PROPOSAL TO AMEND THE BANKS REMUNERATION POLICY,5605
PROPOSAL TO RENEW THE BANKS AUTHORISATION TO PURCHASE OWN SHARES AND A        CORRESPONDING AMENDMENT TO THE ARTICLES OF ASSOCIATION,5838
ELECT METTE BRIT BJORDAL AS MEMBER OF CORPORATE ASSEMBLY,5115
David Suda,5100
David Suda,5100
"To approve, for purposes of Nasdaq Rule 5635(d), the issuance of 20% or more of our outstanding shares of Common Stock upon exercise of the common stock purchase warrants, dated January 23, 2024, issued to the Holders by the Company pursuant to certain securities purchase agreements, dated as of January 22, 2024, by and between the Company and each Holder.",860
ELECTION OF OUTSIDE DIRECTOR WHO IS AN AUDIT COMMITTEE MEMBER: JO HYE GYEONG,5100
RE-ELECTION OF THE BOARD OF DIRECTOR: ARNE BOYE NIELSEN,5100
ELECTION OF OUTSIDE DIRECTOR SIN MI NAM,5100
APPROVE BOARD REPORT ON COMPANY OPERATIONS AND ITS FINANCIAL POSITION FOR FY  2023,5032
ACCEPT FINANCIAL STATEMENTS AND STATUTORY REPORTS FOR FY 2023,5030
APPROVAL TO RAISE CAPITAL BY WAY OF PUBLIC OR PRIVATE OFFERINGS INCLUDING     THROUGH A QUALIFIED INSTITUTIONS PLACEMENT TO ELIGIBLE INVESTORS THROUGH AN   ISSUANCE OF EQUITY SHARES OR OTHER ELIGIBLE SECURITIES FOR AN AMOUNT          AGGREGATING UP TO RS 1500 CRORES,5809
OTHER BUSINESS,6393
ELECT JAN PETTER LARSEN AS MEMBER OF CORPORATE ASSEMBLY,5115
ELECT TRUDE WENAAS AS MEMBER OF CORPORATE ASSEMBLY,5115
"To approve the adoption of a new equity plan, as described in the accompanying information circular ( Circular ).",5312
"To approve the adoption of a new equity plan, as described in the accompanying information circular ( Circular ).",5312
To transact such other business as may properly come before the meeting.,6393
To transact such other business as may properly come before the meeting.,6393
"TO APPROVE, CONFIRM AND RATIFY THE DACHANG RESUMPTION AGREEMENT II AND THE    TRANSACTION CONTEMPLATED THEREUNDER",6220
APPROVE SPECIAL REPORT ON PENALTIES AND VIOLATIONS,5759
APPROVAL OF THE UNBUNDLING,6210
APPROVAL OF AMENDMENTS TO THE REGULATIONS ON THE GENERAL MEETING OF           SHAREHOLDERS OF PUBLIC JOINT STOCK COMPANY GAZPROM NEFT,9999
APPROVE BOARD REPORT ON COMPANY OPERATIONS FOR THE FISCAL YEAR ENDED 31 12    2023,5032
PROPOSALS TO AMEND THE COMPANYS ARTICLES OF ASSOCIATION: ARTICLE 1,6185
RE-ELECTION OF THE BOARD OF DIRECTOR: ALBERTO ESQUENAZI,5100
AUTHORISATION TO THE CHAIR OF THE MEETING,5750
ELECTION OF OUTSIDE DIRECTOR SONG CHAN YEOP,5100
DISAPPLICATION OF PRE-EMPTION RIGHTS,5802
TO NOTIFY THE SHAREHOLDERS WITH TRANSACTIONS CARRIED OUT WITH RELATED PARTIES DURING THE FINANCIAL YEAR ENDED 31 DECEMBER 2023 (ANNEXURE 2),5740
APPROVAL OF THE BANKS ANNUAL FINANCIAL STATEMENTS AND CONSOLIDATED ACCOUNTS   FOR THE LAST FINANCIAL YEAR,5030
ELECT ANN MAGRITT BJASTAD VIKEBAKKAS MEMBER OF NOMINATING COMMITTEE,5125
APPROVAL OF FINANCIAL STATEMENTS,5031
Election of Director: Eric T. Shuss,100
Mark Healy,5100
Mark Healy,5100
ACCEPT FINANCIAL STATEMENTS AND STATUTORY REPORTS FOR THE FISCAL YEAR ENDED   31 12 2023,5030
APPROVAL OF REMUNERATION FOR DIRECTOR,5500
APPROVAL OF REMUNERATION TO MEMBERS OF THE BOARD OF DIRECTORS IN THE CURRENT  FINANCIAL YEAR,5505
ELECTION OF OUTSIDE DIRECTOR YEO MI SUK,5100
ELECT TOR EINAR OLSEN AS MEMBER OF CORPORATE ASSEMBLY,5115
DIRECTOR,5100
DIRECTOR,5100
Election of Director: Ned L. Siegel,100
"To ratify the appointment of RBSM LLP as the Company s independent registered public accounting firm for the fiscal year ending December 31, 2023.",200
Lance Morginn,5100
Lance Morginn,5100
PROPOSAL ON THE DISTRIBUTION OF THE COMPANYS NET PROFIT FOR THE FISCAL YEAR   2023,5000
PROPOSAL TO GRANT AN AUTHORIZATION TO PURCHASE OWN SHARES,5838
PROPOSAL TO GRANT AN AUTHORIZATION TO INITIATE SHARE BUYBACK PROGRAMS,5820
RE-ELECTION OF LOUISE KNAUER AS MEMBER TO THE BOARD OF DIRECTORS,5100
RE-ELECTION OF KATRINE BORUM AS MEMBER TO THE BOARD OF DIRECTORS,5100
APPROVE DIVIDENDS OF AED 0.08224 FOR THE SECOND HALF OF FY 2023,5000
OTHER BUSINESS,5759
ELECTION OF TWO MEMBERS OF THE BANKS NOMINATION COMMITTEE,5125
APPROVE NOTICE OF MEETING AND AGENDA,5759
DESIGNATE INSPECTOR(S) OF MINUTES OF MEETING,5759
Mark Brown,5100
Mark Brown,5100
"Extension Amendment Proposal: A proposal to amend by special resolution the Company s amended and restated memorandum of association and articles of association in the form set forth in Annex A to the accompanying proxy statement to extend the date by which the Company would be required to consummate a business combination from March 3, 2024 to March 3, 2025.",1188
"Auditor Ratification Proposal: A proposal to ratify, by ordinary resolution, the selection by the audit committee of the Board Marcum LLP to serve as the Company s independent registered public accounting firm for the year ending March 31, 2024.",200
"Adjournment Proposal: Adjourn the Special Meeting to a later date or dates, if necessary, to permit further solicitation and vote of proxies in the event that there are insufficient votes for, or otherwise in connection with, the approval of Proposal 1 and/or Proposal 2.",710
AUTHORIZE DISTRIBUTION OF BONUS SHARES REPRESENTING 5 PERCENT OF SHARE        CAPITAL FOR THE FISCAL YEAR ENDED 31 12 2023,5010
"APPROVE REMUNERATION OF DIRECTORS OF KWD 120,000 AND REMUNERATION OF CHAIRMAN",5500
APPROVAL OF PARTIAL AMENDMENT TO ARTICLES OF INCORPORATION,6184
ELECTION OF INSIDE DIRECTOR: CHO DONG GIL,5100
ELECTION OF INSIDE DIRECTOR: RYU SEONG TAEK,5100
APPROVE DISCHARGE OF DIRECTORS,5700
APPROVE CORPORATE GOVERNANCE REPORT AND AUDIT COMMITTEE REPORT FOR THE FISCAL YEAR ENDED 31 12 2023,5032
ELECTION OF INSIDE DIRECTOR: AN BYEONG HYEOK,5100
AUTHORIZATION TO THE BOARD TO HANDLE MATTERS REGARDING THE 2024 RESTRICTED    STOCK INCENTIVE PLAN,5750
"AMENDMENT OF ARTICLES OF INCORPORATION (REFLECTION OF IMPROVEMENTS IN         DIVIDEND PROCEDURES, ETC)",6180
ELECTION OF INSIDE DIRECTOR: GIM JEONG HUN,5100
"PROPOSALS TO AMEND THE COMPANYS ARTICLES OF ASSOCIATION: ARTICLE 24,          PARAGRAPH 1",6185
RE-ELECTION OF JESPER DALSGAARD AS MEMBER TO THE BOARD OF DIRECTORS,5100
THE BOARD OF DIRECTORS  PROPOSALS: AUTHORISATION TO ACQUIRE OWN SHARES,5838
ELECTION OF OUTSIDE DIRECTOR WHO IS AN AUDIT COMMITTEE MEMBER HAN SEUNG SU,5100
TO CONSIDER AND APPROVE THE CORPORATE GOVERNANCE REPORT FOR THE FINANCIAL     YEAR ENDED 31 DECEMBER 2023,5032
TO APPOINT THE STATUTORY AUDITORS FOR THE FINANCIAL YEAR ENDING 31 DECEMBER   2024 AND APPROVE THEIR FEES,5220
"To amend the charter which amendment shall be effective, if adopted and implemented by the Company, prior to the consummation of the proposed Business Combination, to remove from the charter the Redemption Limitation, as defined in the charter, contained under Section 9.2(a) preventing the Company from closing a business combination if it would have less than $5,000,001 of NTA in order to expand methods that the Company may employ so as not to become subject to the  penny stock rules of the United States Securities & Exchange Commission.",1185
"To approve the adjournment of the Annual Meeting from time to time to a later date or dates, if necessary and appropriate, under certain circumstances, including for the purpose of soliciting additional proxies in favor one or more of the foregoing proposals, in the event the Company does not receive the requisite stockholder vote to approve such proposal(s) or establish a quorum.",710
